"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/11/2018","Nordstrom","NORDSTROM #0736","60.56","debit","Check","CREDIT CARD","",""
"7/25/2013","Carrs","CARR & SMITH DENTAL,PLLC","1542.00","debit","Dentist","CREDIT CARD","",""
"3/12/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  03/11/18Card 15 #8212","0.99","debit","Check","PLUS CHECKING","",""
"3/12/2018","Costco","COSTCO WHSE #0681 AUSTIN TXCOSTCO WHSE #0681 AUSTIN TX Card 15 #8212","163.15","debit","Groceries","PLUS CHECKING","",""
"3/12/2018","Jo-Ann Stores","Check Card: JOANN STORES #2140Check Card: JOANN STORES #2140 AUSTIN TX  03/11/18Card 15 #8212","20.55","debit","Hobbies","PLUS CHECKING","",""
"3/12/2018","Corner Store","CORNER STORE 0080 AUSTIN TXCORNER STORE 0080 AUSTIN TX Card 15 #4032","3.17","debit","Gas & Fuel","PLUS CHECKING","",""
"3/11/2018","Black Sheep Lodge","Check Card: BLACK SHEEP LODGE,LTD AUSTIN TX  03/10/18Card 15 #4032","37.63","debit","Check","PLUS CHECKING","",""
"3/11/2018","Whole Foods","WHOLEFDS GWY 100 9607 R AUSTINWHOLEFDS GWY 100 9607 R AUSTIN TX Card 15 #8212","96.64","debit","Groceries","PLUS CHECKING","",""
"3/11/2018","Home Depot","NST THE HOME DEPOT 080568 10515N MOPAC NC EXPRSW AUSTIN TX Card 15 #8212","22.44","debit","Check","PLUS CHECKING","",""
"3/11/2018","Einstein Bros","Check Card: EINSTEIN BROSBAGELS311 AUSTIN TX  03/10/18Card 15 #8212","15.29","debit","Check","PLUS CHECKING","",""
"3/10/2018","Starbucks","Check Card: ARAMARK STARBUCKSCheck Card: ARAMARK STARBUCKS AUSTIN TX  03/08/18Card 15 #4032","20.00","debit","Check","PLUS CHECKING","",""
"3/10/2018","Pinthouse Pizza LLC","Check Card: PINTHOUSE PIZZACheck Card: PINTHOUSE PIZZA AUSTIN TX  03/09/18Card 15 #8212","16.53","debit","Check","PLUS CHECKING","",""
